"RprtDt","StateCd","NDISDsbltyGrpNm","ICDDsbltyNm","Primary","Reported","Secondary"
2023-03-31,"NT","Psychosocial disability","F31 - Bipolar affective disorder","25","37","12"
2023-03-31,"NT","Psychosocial disability","F32 - Major depressive illness","19","48","29"
2023-03-31,"NT","Psychosocial disability","F41 - Other Anxiety disorders","<11","88","78-88"
2023-03-31,"NT","Psychosocial disability","F42 - Obsessive-compulsive disorder","<11","<11","<11"
2023-03-31,"NT","Psychosocial disability","F43 - Post traumatic stress disorder (PTSD)","<11","24","14-24"
2023-03-31,"NT","Psychosocial disability","F60.3 - Borderline personality disorder","<11","15","5-15"
2023-03-31,"NT","Psychosocial disability","F95.2 - Tourette syndrome","<11","<11","<11"
2023-03-31,"NT","Psychosocial disability","F99 - Other psychosocial disorders","50","129","79"
2023-03-31,"OT","Psychosocial disability","F20 - Schizophrenia","<11","<11","<11"
2023-03-31,"OT","Psychosocial disability","F31 - Bipolar affective disorder","<11","<11","<11"
2023-03-31,"OT","Psychosocial disability","F32 - Major depressive illness","<11","<11","<11"
2023-03-31,"OT","Psychosocial disability","F41 - Other Anxiety disorders","<11","<11","<11"
2023-03-31,"OT","Psychosocial disability","F99 - Other psychosocial disorders","<11","<11","<11"
2023-03-31,"QLD","Psychosocial disability","F11 - Alcohol dependency","<11","85","75-85"
2023-03-31,"QLD","Psychosocial disability","F19 - Other substance dependency","<11","73","63-73"
2023-03-31,"QLD","Psychosocial disability","F20 - Schizophrenia","5914","6856","942"
2023-03-31,"QLD","Psychosocial disability","F25.9 - Schizoaffective Disorder","618","693","75"
2023-03-31,"QLD","Psychosocial disability","F31 - Bipolar affective disorder","1204","1962","758"
2023-03-31,"QLD","Psychosocial disability","F32 - Major depressive illness","1070","3202","2132"
2023-03-31,"QLD","Psychosocial disability","F41 - Other Anxiety disorders","251","5666","5415"
2023-03-31,"QLD","Psychosocial disability","F42 - Obsessive-compulsive disorder","48","587","539"
2023-03-31,"QLD","Psychosocial disability","F43 - Post traumatic stress disorder (PTSD)","743","1522","779"
2023-03-31,"QLD","Psychosocial disability","F60.3 - Borderline personality disorder","411","956","545"
2023-03-31,"QLD","Psychosocial disability","F95.2 - Tourette syndrome","<11","61","51-61"
2023-03-31,"QLD","Psychosocial disability","F99 - Other psychosocial disorders","1358","4357","2999"
2023-03-31,"QLD","Psychosocial disability","R63 - Anorexia","<11","18","8-18"
2023-03-31,"SA","Psychosocial disability","F11 - Alcohol dependency","<11","19","9-19"
2023-03-31,"SA","Psychosocial disability","F19 - Other substance dependency","<11","31","21-31"
2023-03-31,"SA","Psychosocial disability","F20 - Schizophrenia","2048","2427","379"
2023-03-31,"SA","Psychosocial disability","F25.9 - Schizoaffective Disorder","256","289","33"
2023-03-31,"SA","Psychosocial disability","F31 - Bipolar affective disorder","272","580","308"
2023-03-31,"SA","Psychosocial disability","F32 - Major depressive illness","237","759","522"
2023-03-31,"SA","Psychosocial disability","F41 - Other Anxiety disorders","74","1374","1300"
2023-03-31,"SA","Psychosocial disability","F42 - Obsessive-compulsive disorder","14","139","125"
2023-03-31,"SA","Psychosocial disability","F43 - Post traumatic stress disorder (PTSD)","160","362","202"
2023-03-31,"SA","Psychosocial disability","F60.3 - Borderline personality disorder","162","383","221"
2023-03-31,"SA","Psychosocial disability","F95.2 - Tourette syndrome","<11","<11","<11"
2023-03-31,"SA","Psychosocial disability","F99 - Other psychosocial disorders","453","1582","1129"
2023-03-31,"SA","Psychosocial disability","R63 - Anorexia","<11","<11","<11"
2023-03-31,"TAS","Psychosocial disability","F11 - Alcohol dependency","<11","<11","<11"
2023-03-31,"TAS","Psychosocial disability","F19 - Other substance dependency","<11","12","2-12"
2023-03-31,"TAS","Psychosocial disability","F20 - Schizophrenia","601","699","98"
2023-03-31,"TAS","Psychosocial disability","F25.9 - Schizoaffective Disorder","53","60","7"
2023-03-31,"TAS","Psychosocial disability","F31 - Bipolar affective disorder","96","180","84"
2023-03-31,"TAS","Psychosocial disability","F32 - Major depressive illness","61","205","144"
2023-03-31,"TAS","Psychosocial disability","F41 - Other Anxiety disorders","32","491","459"
2023-03-31,"TAS","Psychosocial disability","F42 - Obsessive-compulsive disorder","16","86","70"
2023-03-31,"TAS","Psychosocial disability","F43 - Post traumatic stress disorder (PTSD)","56","118","62"
2023-03-31,"TAS","Psychosocial disability","F60.3 - Borderline personality disorder","55","114","59"
2023-03-31,"TAS","Psychosocial disability","F95.2 - Tourette syndrome","<11","<11","<11"
2023-03-31,"TAS","Psychosocial disability","F99 - Other psychosocial disorders","140","481","341"
2023-03-31,"TAS","Psychosocial disability","R63 - Anorexia","<11","<11","<11"
2023-03-31,"VIC","Psychosocial disability","F11 - Alcohol dependency","<11","140","130-140"
2023-03-31,"VIC","Psychosocial disability","F19 - Other substance dependency","<11","186","176-186"
2023-03-31,"VIC","Psychosocial disability","F20 - Schizophrenia","7858","9288","1430"
2023-03-31,"VIC","Psychosocial disability","F25.9 - Schizoaffective Disorder","884","1009","125"
2023-03-31,"VIC","Psychosocial disability","F31 - Bipolar affective disorder","1902","3124","1222"
2023-03-31,"VIC","Psychosocial disability","F32 - Major depressive illness","2088","5509","3421"
2023-03-31,"VIC","Psychosocial disability","F41 - Other Anxiety disorders","785","8562","7777"
2023-03-31,"VIC","Psychosocial disability","F42 - Obsessive-compulsive disorder","98","748","650"
2023-03-31,"VIC","Psychosocial disability","F43 - Post traumatic stress disorder (PTSD)","787","1842","1055"
2023-03-31,"VIC","Psychosocial disability","F60.3 - Borderline personality disorder","1004","1993","989"
2023-03-31,"VIC","Psychosocial disability","F95.2 - Tourette syndrome","<11","50","40-50"
2023-03-31,"VIC","Psychosocial disability","F99 - Other psychosocial disorders","4073","8249","4176"
2023-03-31,"VIC","Psychosocial disability","R63 - Anorexia","<11","29","19-29"
2023-03-31,"WA","Psychosocial disability","F11 - Alcohol dependency","<11","27","17-27"
2023-03-31,"WA","Psychosocial disability","F19 - Other substance dependency","<11","28","18-28"
2023-03-31,"WA","Psychosocial disability","F20 - Schizophrenia","2735","3061","326"
2023-03-31,"WA","Psychosocial disability","F25.9 - Schizoaffective Disorder","255","306","51"
2023-03-31,"WA","Psychosocial disability","F31 - Bipolar affective disorder","473","773","300"
2023-03-31,"WA","Psychosocial disability","F32 - Major depressive illness","398","1130","732"
2023-03-31,"WA","Psychosocial disability","F41 - Other Anxiety disorders","136","1865","1729"
2023-03-31,"WA","Psychosocial disability","F42 - Obsessive-compulsive disorder","21","204","183"
2023-03-31,"WA","Psychosocial disability","F43 - Post traumatic stress disorder (PTSD)","254","579","325"
2023-03-31,"WA","Psychosocial disability","F60.3 - Borderline personality disorder","180","360","180"
2023-03-31,"WA","Psychosocial disability","F95.2 - Tourette syndrome","<11","25","15-25"
2023-03-31,"WA","Psychosocial disability","F99 - Other psychosocial disorders","743","1819","1076"
2023-03-31,"WA","Psychosocial disability","R63 - Anorexia","<11","<11","<11"
2022-12-31,"ACT","Psychosocial disability","F11 - Alcohol dependency","<11","<11","<11"
2022-12-31,"ACT","Psychosocial disability","F19 - Other substance dependency","<11","<11","<11"
2022-12-31,"ACT","Psychosocial disability","F20 - Schizophrenia","652","712","60"
2022-12-31,"ACT","Psychosocial disability","F25.9 - Schizoaffective Disorder","41","45","4"
2022-12-31,"ACT","Psychosocial disability","F31 - Bipolar affective disorder","134","201","67"
2022-12-31,"ACT","Psychosocial disability","F32 - Major depressive illness","56","183","127"
2022-12-31,"ACT","Psychosocial disability","F41 - Other Anxiety disorders","25","340","315"
2022-12-31,"ACT","Psychosocial disability","F42 - Obsessive-compulsive disorder","<11","48","38-48"
2022-12-31,"ACT","Psychosocial disability","F43 - Post traumatic stress disorder (PTSD)","29","65","36"
2022-12-31,"ACT","Psychosocial disability","F60.3 - Borderline personality disorder","38","81","43"
2022-12-31,"ACT","Psychosocial disability","F95.2 - Tourette syndrome","<11","<11","<11"
2022-12-31,"ACT","Psychosocial disability","F99 - Other psychosocial disorders","161","465","304"
2022-12-31,"ACT","Psychosocial disability","R63 - Anorexia","<11","<11","<11"
2022-12-31,"All","Psychosocial disability","All","59512","127559","68047"
2022-12-31,"All","Psychosocial disability","F11 - Alcohol dependency","17","466","449"
2022-12-31,"All","Psychosocial disability","F19 - Other substance dependency","<11","548","538-548"
2022-12-31,"All","Psychosocial disability","F20 - Schizophrenia","29776","34580","4804"
2022-12-31,"All","Psychosocial disability","F25.9 - Schizoaffective Disorder","2841","3239","398"
2022-12-31,"All","Psychosocial disability","F31 - Bipolar affective disorder","5765","9826","4061"
2022-12-31,"All","Psychosocial disability","F32 - Major depressive illness","5137","14797","9660"
2022-12-31,"All","Psychosocial disability","F41 - Other Anxiety disorders","1819","26842","25023"
2022-12-31,"All","Psychosocial disability","F42 - Obsessive-compulsive disorder","295","2774","2479"
2022-12-31,"All","Psychosocial disability","F43 - Post traumatic stress disorder (PTSD)","2566","5789","3223"
2022-12-31,"All","Psychosocial disability","F60.3 - Borderline personality disorder","2366","5010","2644"
2022-12-31,"All","Psychosocial disability","F95.2 - Tourette syndrome","28","220","192"
2022-12-31,"All","Psychosocial disability","F99 - Other psychosocial disorders","8881","23378","14497"
2022-12-31,"All","Psychosocial disability","R63 - Anorexia","20","90","70"
2022-12-31,"NSW","Psychosocial disability","F11 - Alcohol dependency","<11","179","169-179"
2022-12-31,"NSW","Psychosocial disability","F19 - Other substance dependency","<11","207","197-207"
2022-12-31,"NSW","Psychosocial disability","F20 - Schizophrenia","9967","11541","1574"
2022-12-31,"NSW","Psychosocial disability","F25.9 - Schizoaffective Disorder","831","952","121"
2022-12-31,"NSW","Psychosocial disability","F31 - Bipolar affective disorder","1726","3106","1380"
2022-12-31,"NSW","Psychosocial disability","F32 - Major depressive illness","1287","4050","2763"
2022-12-31,"NSW","Psychosocial disability","F41 - Other Anxiety disorders","520","8844","8324"
2022-12-31,"NSW","Psychosocial disability","F42 - Obsessive-compulsive disorder","92","1009","917"
2022-12-31,"NSW","Psychosocial disability","F43 - Post traumatic stress disorder (PTSD)","658","1604","946"
2022-12-31,"NSW","Psychosocial disability","F60.3 - Borderline personality disorder","538","1215","677"
2022-12-31,"NSW","Psychosocial disability","F95.2 - Tourette syndrome","<11","83","73-83"
2022-12-31,"NSW","Psychosocial disability","F99 - Other psychosocial disorders","1933","6452","4519"
2022-12-31,"NSW","Psychosocial disability","R63 - Anorexia","<11","32","22-32"
2022-12-31,"NT","Psychosocial disability","F11 - Alcohol dependency","<11","<11","<11"
2022-12-31,"NT","Psychosocial disability","F19 - Other substance dependency","<11","13","3-13"
2022-12-31,"NT","Psychosocial disability","F20 - Schizophrenia","403","461","58"
2022-12-31,"NT","Psychosocial disability","F25.9 - Schizoaffective Disorder","27","28","1"
2022-12-31,"NT","Psychosocial disability","F31 - Bipolar affective disorder","24","36","12"
2022-12-31,"NT","Psychosocial disability","F32 - Major depressive illness","20","47","27"
2022-12-31,"NT","Psychosocial disability","F41 - Other Anxiety disorders","<11","87","77-87"
2022-12-31,"NT","Psychosocial disability","F42 - Obsessive-compulsive disorder","<11","<11","<11"
2022-12-31,"NT","Psychosocial disability","F43 - Post traumatic stress disorder (PTSD)","<11","24","14-24"
2022-12-31,"NT","Psychosocial disability","F60.3 - Borderline personality disorder","<11","15","5-15"
2022-12-31,"NT","Psychosocial disability","F95.2 - Tourette syndrome","<11","<11","<11"
2022-12-31,"NT","Psychosocial disability","F99 - Other psychosocial disorders","48","125","77"
2022-12-31,"OT","Psychosocial disability","F20 - Schizophrenia","<11","<11","<11"
2022-12-31,"OT","Psychosocial disability","F31 - Bipolar affective disorder","<11","<11","<11"
2022-12-31,"OT","Psychosocial disability","F32 - Major depressive illness","<11","<11","<11"
2022-12-31,"OT","Psychosocial disability","F41 - Other Anxiety disorders","<11","<11","<11"
2022-12-31,"OT","Psychosocial disability","F99 - Other psychosocial disorders","<11","<11","<11"
2022-12-31,"QLD","Psychosocial disability","F11 - Alcohol dependency","<11","85","75-85"
2022-12-31,"QLD","Psychosocial disability","F19 - Other substance dependency","<11","73","63-73"
2022-12-31,"QLD","Psychosocial disability","F20 - Schizophrenia","5793","6725","932"
2022-12-31,"QLD","Psychosocial disability","F25.9 - Schizoaffective Disorder","582","648","66"
2022-12-31,"QLD","Psychosocial disability","F31 - Bipolar affective disorder","1176","1917","741"
2022-12-31,"QLD","Psychosocial disability","F32 - Major depressive illness","1041","3106","2065"
2022-12-31,"QLD","Psychosocial disability","F41 - Other Anxiety disorders","247","5572","5325"
2022-12-31,"QLD","Psychosocial disability","F42 - Obsessive-compulsive disorder","47","571","524"
2022-12-31,"QLD","Psychosocial disability","F43 - Post traumatic stress disorder (PTSD)","684","1392","708"
2022-12-31,"QLD","Psychosocial disability","F60.3 - Borderline personality disorder","400","929","529"
2022-12-31,"QLD","Psychosocial disability","F95.2 - Tourette syndrome","<11","53","43-53"
2022-12-31,"QLD","Psychosocial disability","F99 - Other psychosocial disorders","1342","4329","2987"
2022-12-31,"QLD","Psychosocial disability","R63 - Anorexia","<11","16","6-16"
2022-12-31,"SA","Psychosocial disability","F11 - Alcohol dependency","<11","20","10-20"
2022-12-31,"SA","Psychosocial disability","F19 - Other substance dependency","<11","31","21-31"
2022-12-31,"SA","Psychosocial disability","F20 - Schizophrenia","1990","2366","376"
2022-12-31,"SA","Psychosocial disability","F25.9 - Schizoaffective Disorder","241","273","32"
2022-12-31,"SA","Psychosocial disability","F31 - Bipolar affective disorder","266","567","301"
2022-12-31,"SA","Psychosocial disability","F32 - Major depressive illness","221","728","507"
2022-12-31,"SA","Psychosocial disability","F41 - Other Anxiety disorders","73","1350","1277"
2022-12-31,"SA","Psychosocial disability","F42 - Obsessive-compulsive disorder","14","137","123"
2022-12-31,"SA","Psychosocial disability","F43 - Post traumatic stress disorder (PTSD)","150","327","177"
2022-12-31,"SA","Psychosocial disability","F60.3 - Borderline personality disorder","156","368","212"
2022-12-31,"SA","Psychosocial disability","F95.2 - Tourette syndrome","<11","<11","<11"
2022-12-31,"SA","Psychosocial disability","F99 - Other psychosocial disorders","449","1570","1121"
2022-12-31,"SA","Psychosocial disability","R63 - Anorexia","<11","<11","<11"
2022-12-31,"TAS","Psychosocial disability","F11 - Alcohol dependency","<11","<11","<11"
2022-12-31,"TAS","Psychosocial disability","F19 - Other substance dependency","<11","<11","<11"
2022-12-31,"TAS","Psychosocial disability","F20 - Schizophrenia","591","664","73"
2022-12-31,"TAS","Psychosocial disability","F25.9 - Schizoaffective Disorder","54","60","6"
2022-12-31,"TAS","Psychosocial disability","F31 - Bipolar affective disorder","97","152","55"
2022-12-31,"TAS","Psychosocial disability","F32 - Major depressive illness","61","160","99"
2022-12-31,"TAS","Psychosocial disability","F41 - Other Anxiety disorders","30","371","341"
2022-12-31,"TAS","Psychosocial disability","F42 - Obsessive-compulsive disorder","16","64","48"
2022-12-31,"TAS","Psychosocial disability","F43 - Post traumatic stress disorder (PTSD)","58","106","48"
2022-12-31,"TAS","Psychosocial disability","F60.3 - Borderline personality disorder","54","94","40"
2022-12-31,"TAS","Psychosocial disability","F95.2 - Tourette syndrome","<11","<11","<11"
2022-12-31,"TAS","Psychosocial disability","F99 - Other psychosocial disorders","140","398","258"
2022-12-31,"VIC","Psychosocial disability","F11 - Alcohol dependency","<11","143","133-143"
2022-12-31,"VIC","Psychosocial disability","F19 - Other substance dependency","<11","185","175-185"
2022-12-31,"VIC","Psychosocial disability","F20 - Schizophrenia","7694","9104","1410"
2022-12-31,"VIC","Psychosocial disability","F25.9 - Schizoaffective Disorder","824","946","122"
2022-12-31,"VIC","Psychosocial disability","F31 - Bipolar affective disorder","1874","3085","1211"
2022-12-31,"VIC","Psychosocial disability","F32 - Major depressive illness","2054","5413","3359"
2022-12-31,"VIC","Psychosocial disability","F41 - Other Anxiety disorders","783","8448","7665"
2022-12-31,"VIC","Psychosocial disability","F42 - Obsessive-compulsive disorder","96","738","642"
2022-12-31,"VIC","Psychosocial disability","F43 - Post traumatic stress disorder (PTSD)","738","1736","998"
2022-12-31,"VIC","Psychosocial disability","F60.3 - Borderline personality disorder","997","1956","959"
2022-12-31,"VIC","Psychosocial disability","F95.2 - Tourette syndrome","<11","47","37-47"
2022-12-31,"VIC","Psychosocial disability","F99 - Other psychosocial disorders","4067","8232","4165"
2022-12-31,"VIC","Psychosocial disability","R63 - Anorexia","<11","27","17-27"
2022-12-31,"WA","Psychosocial disability","F11 - Alcohol dependency","<11","25","15-25"
2022-12-31,"WA","Psychosocial disability","F19 - Other substance dependency","<11","26","16-26"
2022-12-31,"WA","Psychosocial disability","F20 - Schizophrenia","2682","3003","321"
2022-12-31,"WA","Psychosocial disability","F25.9 - Schizoaffective Disorder","241","287","46"
2022-12-31,"WA","Psychosocial disability","F31 - Bipolar affective disorder","467","761","294"
2022-12-31,"WA","Psychosocial disability","F32 - Major depressive illness","397","1108","711"
2022-12-31,"WA","Psychosocial disability","F41 - Other Anxiety disorders","137","1827","1690"
2022-12-31,"WA","Psychosocial disability","F42 - Obsessive-compulsive disorder","20","200","180"
2022-12-31,"WA","Psychosocial disability","F43 - Post traumatic stress disorder (PTSD)","239","535","296"
2022-12-31,"WA","Psychosocial disability","F60.3 - Borderline personality disorder","176","352","176"
2022-12-31,"WA","Psychosocial disability","F95.2 - Tourette syndrome","<11","23","13-23"
2022-12-31,"WA","Psychosocial disability","F99 - Other psychosocial disorders","741","1805","1064"
2022-12-31,"WA","Psychosocial disability","R63 - Anorexia","<11","<11","<11"
2022-09-30,"ACT","Psychosocial disability","F11 - Alcohol dependency","<11","<11","<11"
2022-09-30,"ACT","Psychosocial disability","F19 - Other substance dependency","<11","<11","<11"
2022-09-30,"ACT","Psychosocial disability","F20 - Schizophrenia","650","710","60"
2022-09-30,"ACT","Psychosocial disability","F25.9 - Schizoaffective Disorder","37","41","4"
2022-09-30,"ACT","Psychosocial disability","F31 - Bipolar affective disorder","136","202","66"
2022-09-30,"ACT","Psychosocial disability","F32 - Major depressive illness","55","179","124"
2022-09-30,"ACT","Psychosocial disability","F41 - Other Anxiety disorders","26","337","311"
2022-09-30,"ACT","Psychosocial disability","F42 - Obsessive-compulsive disorder","<11","48","38-48"
2022-09-30,"ACT","Psychosocial disability","F43 - Post traumatic stress disorder (PTSD)","26","59","33"
2022-09-30,"ACT","Psychosocial disability","F60.3 - Borderline personality disorder","35","76","41"
2022-09-30,"ACT","Psychosocial disability","F95.2 - Tourette syndrome","<11","<11","<11"
2022-09-30,"ACT","Psychosocial disability","F99 - Other psychosocial disorders","162","463","301"
2022-09-30,"ACT","Psychosocial disability","R63 - Anorexia","<11","<11","<11"
2022-09-30,"NSW","Psychosocial disability","F11 - Alcohol dependency","<11","173","163-173"
2022-09-30,"NSW","Psychosocial disability","F19 - Other substance dependency","<11","208","198-208"
2022-09-30,"NSW","Psychosocial disability","F20 - Schizophrenia","9737","11298","1561"
2022-09-30,"NSW","Psychosocial disability","F25.9 - Schizoaffective Disorder","769","884","115"
2022-09-30,"NSW","Psychosocial disability","F31 - Bipolar affective disorder","1679","3044","1365"
2022-09-30,"NSW","Psychosocial disability","F32 - Major depressive illness","1259","3936","2677"
2022-09-30,"NSW","Psychosocial disability","F41 - Other Anxiety disorders","515","8733","8218"
2022-09-30,"NSW","Psychosocial disability","F42 - Obsessive-compulsive disorder","91","995","904"
2022-09-30,"NSW","Psychosocial disability","F43 - Post traumatic stress disorder (PTSD)","601","1488","887"
2022-09-30,"NSW","Psychosocial disability","F60.3 - Borderline personality disorder","527","1179","652"
2022-09-30,"NSW","Psychosocial disability","F95.2 - Tourette syndrome","<11","81","71-81"
2022-09-30,"NSW","Psychosocial disability","F99 - Other psychosocial disorders","1921","6428","4507"
2022-09-30,"NSW","Psychosocial disability","R63 - Anorexia","<11","32","22-32"
2022-09-30,"NT","Psychosocial disability","F11 - Alcohol dependency","<11","<11","<11"
2022-09-30,"NT","Psychosocial disability","F19 - Other substance dependency","<11","13","3-13"
2022-09-30,"NT","Psychosocial disability","F20 - Schizophrenia","394","448","54"
2022-09-30,"NT","Psychosocial disability","F25.9 - Schizoaffective Disorder","23","24","1"
2022-09-30,"NT","Psychosocial disability","F31 - Bipolar affective disorder","24","36","12"
2022-09-30,"NT","Psychosocial disability","F32 - Major depressive illness","23","50","27"
2022-09-30,"NT","Psychosocial disability","F41 - Other Anxiety disorders","<11","87","77-87"
2022-09-30,"NT","Psychosocial disability","F42 - Obsessive-compulsive disorder","<11","<11","<11"
2022-09-30,"NT","Psychosocial disability","F43 - Post traumatic stress disorder (PTSD)","<11","25","15-25"
2022-09-30,"NT","Psychosocial disability","F60.3 - Borderline personality disorder","<11","15","5-15"
2022-09-30,"NT","Psychosocial disability","F95.2 - Tourette syndrome","<11","<11","<11"
2022-09-30,"NT","Psychosocial disability","F99 - Other psychosocial disorders","49","128","79"
2022-09-30,"OT","Psychosocial disability","F20 - Schizophrenia","<11","<11","<11"
2022-09-30,"OT","Psychosocial disability","F31 - Bipolar affective disorder","<11","<11","<11"
2022-09-30,"OT","Psychosocial disability","F32 - Major depressive illness","<11","<11","<11"
2022-09-30,"OT","Psychosocial disability","F41 - Other Anxiety disorders","<11","<11","<11"
2022-09-30,"OT","Psychosocial disability","F99 - Other psychosocial disorders","<11","<11","<11"
2022-09-30,"QLD","Psychosocial disability","F11 - Alcohol dependency","<11","85","75-85"
2022-09-30,"QLD","Psychosocial disability","F19 - Other substance dependency","<11","74","64-74"
2022-09-30,"QLD","Psychosocial disability","F20 - Schizophrenia","5700","6631","931"
2022-09-30,"QLD","Psychosocial disability","F25.9 - Schizoaffective Disorder","537","602","65"
2022-09-30,"QLD","Psychosocial disability","F31 - Bipolar affective disorder","1148","1882","734"
2022-09-30,"QLD","Psychosocial disability","F32 - Major depressive illness","1005","3015","2010"
2022-09-30,"QLD","Psychosocial disability","F41 - Other Anxiety disorders","240","5463","5223"
2022-09-30,"QLD","Psychosocial disability","F42 - Obsessive-compulsive disorder","47","566","519"
2022-09-30,"QLD","Psychosocial disability","F43 - Post traumatic stress disorder (PTSD)","626","1282","656"
2022-09-30,"QLD","Psychosocial disability","F60.3 - Borderline personality disorder","388","912","524"
2022-09-30,"QLD","Psychosocial disability","F95.2 - Tourette syndrome","<11","52","42-52"
2022-09-30,"QLD","Psychosocial disability","F99 - Other psychosocial disorders","1338","4312","2974"
2022-09-30,"QLD","Psychosocial disability","R63 - Anorexia","<11","16","6-16"
2022-09-30,"SA","Psychosocial disability","F11 - Alcohol dependency","<11","19","9-19"
2022-09-30,"SA","Psychosocial disability","F19 - Other substance dependency","<11","30","20-30"
2022-09-30,"SA","Psychosocial disability","F20 - Schizophrenia","1929","2303","374"
2022-09-30,"SA","Psychosocial disability","F25.9 - Schizoaffective Disorder","211","238","27"
2022-09-30,"SA","Psychosocial disability","F31 - Bipolar affective disorder","260","549","289"
2022-09-30,"SA","Psychosocial disability","F32 - Major depressive illness","209","700","491"
2022-09-30,"SA","Psychosocial disability","F41 - Other Anxiety disorders","71","1323","1252"
2022-09-30,"SA","Psychosocial disability","F42 - Obsessive-compulsive disorder","14","132","118"
2022-09-30,"SA","Psychosocial disability","F43 - Post traumatic stress disorder (PTSD)","135","290","155"
2022-09-30,"SA","Psychosocial disability","F60.3 - Borderline personality disorder","151","354","203"
2022-09-30,"SA","Psychosocial disability","F95.2 - Tourette syndrome","<11","<11","<11"
2022-09-30,"SA","Psychosocial disability","F99 - Other psychosocial disorders","441","1562","1121"
2022-09-30,"SA","Psychosocial disability","R63 - Anorexia","<11","<11","<11"
2022-09-30,"TAS","Psychosocial disability","F11 - Alcohol dependency","<11","<11","<11"
2022-09-30,"TAS","Psychosocial disability","F19 - Other substance dependency","<11","12","2-12"
2022-09-30,"TAS","Psychosocial disability","F20 - Schizophrenia","576","674","98"
2022-09-30,"TAS","Psychosocial disability","F25.9 - Schizoaffective Disorder","47","54","7"
