"Table_Number","Year","Measure","Age","Sex","Indigenous_Status","Remoteness","Year_Dollars","Description1","Description2","Description3","Description4","Description5","Description6","Uncertainty","Data_Source","Unit","NSW","Vic","Qld","WA","SA","Tas","ACT","NT","Total","Aus Gov","Aust"
"13A.2","2020-21","Funding of services for mental health","All ages","All people","All people","All areas","2020-21 dollars","Australian Government expenditure on mental health services","Real estimated expenditure","National programs and initiative (DSS managed)","","","","","Derived from Australian Government Department of Health and Aged Care (unpublished); ABS (unpublished) Australian National Accounts: National Income Expenditure and Product","$m","","","","","","","","","","12.8",""
"13A.2","2020-21","Funding of services for mental health","All ages","All people","All people","All areas","2020-21 dollars","Australian Government expenditure on mental health services","Real estimated expenditure","National programs and initiative (DVA managed)","","","","","Derived from Australian Government Department of Health and Aged Care (unpublished); ABS (unpublished) Australian National Accounts: National Income Expenditure and Product","$m","","","","","","","","","","288.6",""
"13A.2","2020-21","Funding of services for mental health","All ages","All people","All people","All areas","2020-21 dollars","Australian Government expenditure on mental health services","Real estimated expenditure","Department of Defence-funded programs","","","","","Derived from Australian Government Department of Health and Aged Care (unpublished); ABS (unpublished) Australian National Accounts: National Income Expenditure and Product","$m","","","","","","","","","","60.7",""
"13A.2","2020-21","Funding of services for mental health","All ages","All people","All people","All areas","2020-21 dollars","Australian Government expenditure on mental health services","Real estimated expenditure","National Suicide Prevention Program","","","","","Derived from Australian Government Department of Health and Aged Care (unpublished); ABS (unpublished) Australian National Accounts: National Income Expenditure and Product","$m","","","","","","","","","","85.6",""
"13A.2","2020-21","Funding of services for mental health","All ages","All people","All people","All areas","2020-21 dollars","Australian Government expenditure on mental health services","Real estimated expenditure","Indigenous social and emotional wellbeing programmes","","","","","Derived from Australian Government Department of Health and Aged Care (unpublished); ABS (unpublished) Australian National Accounts: National Income Expenditure and Product","$m","","","","","","","","","","76.0",""
"13A.2","2020-21","Funding of services for mental health","All ages","All people","All people","All areas","2020-21 dollars","Australian Government expenditure on mental health services","Real estimated expenditure","MBS - Psychiatrists","","","","","Derived from Australian Government Department of Health and Aged Care (unpublished); ABS (unpublished) Australian National Accounts: National Income Expenditure and Product","$m","","","","","","","","","","424.8",""
"13A.2","2020-21","Funding of services for mental health","All ages","All people","All people","All areas","2020-21 dollars","Australian Government expenditure on mental health services","Real estimated expenditure","MBS - General practitioners","","","","","Derived from Australian Government Department of Health and Aged Care (unpublished); ABS (unpublished) Australian National Accounts: National Income Expenditure and Product","$m","","","","","","","","","","344.7",""
"13A.2","2020-21","Funding of services for mental health","All ages","All people","All people","All areas","2020-21 dollars","Australian Government expenditure on mental health services","Real estimated expenditure","MBS - Psychologists/Allied Health","","","","","Derived from Australian Government Department of Health and Aged Care (unpublished); ABS (unpublished) Australian National Accounts: National Income Expenditure and Product","$m","","","","","","","","","","789.0",""
"13A.2","2020-21","Funding of services for mental health","All ages","All people","All people","All areas","2020-21 dollars","Australian Government expenditure on mental health services","Real estimated expenditure","Pharmaceutical Benefits Schedule","","","","","Derived from Australian Government Department of Health and Aged Care (unpublished); ABS (unpublished) Australian National Accounts: National Income Expenditure and Product","$m","","","","","","","","","","607.0",""
"13A.2","2020-21","Funding of services for mental health","All ages","All people","All people","All areas","2020-21 dollars","Australian Government expenditure on mental health services","Real estimated expenditure","Private Health Insurance Premium Rebates","","","","","Derived from Australian Government Department of Health and Aged Care (unpublished); ABS (unpublished) Australian National Accounts: National Income Expenditure and Product","$m","","","","","","","","","","156.7",""
"13A.2","2020-21","Funding of services for mental health","All ages","All people","All people","All areas","2020-21 dollars","Australian Government expenditure on mental health services","Real estimated expenditure","Research","","","","","Derived from Australian Government Department of Health and Aged Care (unpublished); ABS (unpublished) Australian National Accounts: National Income Expenditure and Product","$m","","","","","","","","","","132.7",""
"13A.2","2020-21","Funding of services for mental health","All ages","All people","All people","All areas","2020-21 dollars","Australian Government expenditure on mental health services","Real estimated expenditure","National Mental Health Commission","","","","","Derived from Australian Government Department of Health and Aged Care (unpublished); ABS (unpublished) Australian National Accounts: National Income Expenditure and Product","$m","","","","","","","","","","13.8",""
"13A.2","2020-21","Funding of services for mental health","All ages","All people","All people","All areas","2020-21 dollars","Australian Government expenditure on mental health services","Real estimated expenditure","Total","","","","","Derived from Australian Government Department of Health and Aged Care (unpublished); ABS (unpublished) Australian National Accounts: National Income Expenditure and Product","$m","","","","","","","","","","3990.4",""
"13A.2","2020-21","Funding of services for mental health","All ages","All people","All people","All areas","","Australian Government expenditure on mental health services","Proportion of expenditure","Mental health specific payments to states and territories","","","","","Derived from Australian Government Department of Health and Aged Care (unpublished); ABS (unpublished) Australian National Accounts: National Income Expenditure and Product","%","","","","","","","","","","0.5",""
"13A.2","2020-21","Funding of services for mental health","All ages","All people","All people","All areas","","Australian Government expenditure on mental health services","Proportion of expenditure","National programs and initiative (Department of Health managed)","","","","","Derived from Australian Government Department of Health and Aged Care (unpublished); ABS (unpublished) Australian National Accounts: National Income Expenditure and Product","%","","","","","","","","","","24.5",""
"13A.2","2020-21","Funding of services for mental health","All ages","All people","All people","All areas","","Australian Government expenditure on mental health services","Proportion of expenditure","National programs and initiative","","","","","Derived from Australian Government Department of Health and Aged Care (unpublished); ABS (unpublished) Australian National Accounts: National Income Expenditure and Product","%","","","","","","","","","","0.3",""
"13A.2","2020-21","Funding of services for mental health","All ages","All people","All people","All areas","","Australian Government expenditure on mental health services","Proportion of expenditure","National programs and initiative (DVA managed)","","","","","Derived from Australian Government Department of Health and Aged Care (unpublished); ABS (unpublished) Australian National Accounts: National Income Expenditure and Product","%","","","","","","","","","","7.2",""
"13A.2","2020-21","Funding of services for mental health","All ages","All people","All people","All areas","","Australian Government expenditure on mental health services","Proportion of expenditure","Department of Defence-funded programs","","","","","Derived from Australian Government Department of Health and Aged Care (unpublished); ABS (unpublished) Australian National Accounts: National Income Expenditure and Product","%","","","","","","","","","","1.5",""
"13A.2","2020-21","Funding of services for mental health","All ages","All people","All people","All areas","","Australian Government expenditure on mental health services","Proportion of expenditure","National Suicide Prevention Program","","","","","Derived from Australian Government Department of Health and Aged Care (unpublished); ABS (unpublished) Australian National Accounts: National Income Expenditure and Product","%","","","","","","","","","","2.1",""
"13A.2","2020-21","Funding of services for mental health","All ages","All people","All people","All areas","","Australian Government expenditure on mental health services","Proportion of expenditure","Indigenous social and emotional wellbeing programmes","","","","","Derived from Australian Government Department of Health and Aged Care (unpublished); ABS (unpublished) Australian National Accounts: National Income Expenditure and Product","%","","","","","","","","","","1.9",""
"13A.2","2020-21","Funding of services for mental health","All ages","All people","All people","All areas","","Australian Government expenditure on mental health services","Proportion of expenditure","MBS - Psychiatrists","","","","","Derived from Australian Government Department of Health and Aged Care (unpublished); ABS (unpublished) Australian National Accounts: National Income Expenditure and Product","%","","","","","","","","","","10.6",""
"13A.2","2020-21","Funding of services for mental health","All ages","All people","All people","All areas","","Australian Government expenditure on mental health services","Proportion of expenditure","MBS - General practitioners","","","","","Derived from Australian Government Department of Health and Aged Care (unpublished); ABS (unpublished) Australian National Accounts: National Income Expenditure and Product","%","","","","","","","","","","8.6",""
"13A.2","2020-21","Funding of services for mental health","All ages","All people","All people","All areas","","Australian Government expenditure on mental health services","Proportion of expenditure","MBS - Psychologists/Allied Health","","","","","Derived from Australian Government Department of Health and Aged Care (unpublished); ABS (unpublished) Australian National Accounts: National Income Expenditure and Product","%","","","","","","","","","","19.8",""
"13A.2","2020-21","Funding of services for mental health","All ages","All people","All people","All areas","","Australian Government expenditure on mental health services","Proportion of expenditure","Pharmaceutical Benefits Schedule","","","","","Derived from Australian Government Department of Health and Aged Care (unpublished); ABS (unpublished) Australian National Accounts: National Income Expenditure and Product","%","","","","","","","","","","15.2",""
"13A.2","2020-21","Funding of services for mental health","All ages","All people","All people","All areas","","Australian Government expenditure on mental health services","Proportion of expenditure","Private Health Insurance Premium Rebates","","","","","Derived from Australian Government Department of Health and Aged Care (unpublished); ABS (unpublished) Australian National Accounts: National Income Expenditure and Product","%","","","","","","","","","","3.9",""
"13A.2","2020-21","Funding of services for mental health","All ages","All people","All people","All areas","","Australian Government expenditure on mental health services","Proportion of expenditure","Research","","","","","Derived from Australian Government Department of Health and Aged Care (unpublished); ABS (unpublished) Australian National Accounts: National Income Expenditure and Product","%","","","","","","","","","","3.3",""
"13A.2","2020-21","Funding of services for mental health","All ages","All people","All people","All areas","","Australian Government expenditure on mental health services","Proportion of expenditure","National Mental Health Commission","","","","","Derived from Australian Government Department of Health and Aged Care (unpublished); ABS (unpublished) Australian National Accounts: National Income Expenditure and Product","%","","","","","","","","","","0.3",""
"13A.2","2019-20","Funding of services for mental health","All ages","All people","All people","All areas","2020-21 dollars","Australian Government expenditure on mental health services","Real estimated expenditure","Mental health specific payments to states and territories","","","","","Derived from Australian Government Department of Health and Aged Care (unpublished); ABS (unpublished) Australian National Accounts: National Income Expenditure and Product","$m","","","","","","","","","","9.1",""
"13A.2","2019-20","Funding of services for mental health","All ages","All people","All people","All areas","2020-21 dollars","Australian Government expenditure on mental health services","Real estimated expenditure","National programs and initiative (Department of Health and Aged Care managed)","","","","","Derived from Australian Government Department of Health and Aged Care (unpublished); ABS (unpublished) Australian National Accounts: National Income Expenditure and Product","$m","","","","","","","","","","953.6",""
"13A.2","2019-20","Funding of services for mental health","All ages","All people","All people","All areas","2020-21 dollars","Australian Government expenditure on mental health services","Real estimated expenditure","National programs and initiative (DSS managed)","","","","","Derived from Australian Government Department of Health and Aged Care (unpublished); ABS (unpublished) Australian National Accounts: National Income Expenditure and Product","$m","","","","","","","","","","253.3",""
"13A.2","2019-20","Funding of services for mental health","All ages","All people","All people","All areas","2020-21 dollars","Australian Government expenditure on mental health services","Real estimated expenditure","National programs and initiative (DVA managed)","","","","","Derived from Australian Government Department of Health and Aged Care (unpublished); ABS (unpublished) Australian National Accounts: National Income Expenditure and Product","$m","","","","","","","","","","264.1",""
"13A.2","2019-20","Funding of services for mental health","All ages","All people","All people","All areas","2020-21 dollars","Australian Government expenditure on mental health services","Real estimated expenditure","Department of Defence-funded programs","","","","","Derived from Australian Government Department of Health and Aged Care (unpublished); ABS (unpublished) Australian National Accounts: National Income Expenditure and Product","$m","","","","","","","","","","55.1",""
"13A.2","2019-20","Funding of services for mental health","All ages","All people","All people","All areas","2020-21 dollars","Australian Government expenditure on mental health services","Real estimated expenditure","National Suicide Prevention Program","","","","","Derived from Australian Government Department of Health and Aged Care (unpublished); ABS (unpublished) Australian National Accounts: National Income Expenditure and Product","$m","","","","","","","","","","68.6",""
"13A.2","2019-20","Funding of services for mental health","All ages","All people","All people","All areas","2020-21 dollars","Australian Government expenditure on mental health services","Real estimated expenditure","Indigenous social and emotional wellbeing programmes","","","","","Derived from Australian Government Department of Health and Aged Care (unpublished); ABS (unpublished) Australian National Accounts: National Income Expenditure and Product","$m","","","","","","","","","","76.2",""
"13A.2","2019-20","Funding of services for mental health","All ages","All people","All people","All areas","2020-21 dollars","Australian Government expenditure on mental health services","Real estimated expenditure","MBS - Psychiatrists","","","","","Derived from Australian Government Department of Health and Aged Care (unpublished); ABS (unpublished) Australian National Accounts: National Income Expenditure and Product","$m","","","","","","","","","","395.0",""
"13A.2","2019-20","Funding of services for mental health","All ages","All people","All people","All areas","2020-21 dollars","Australian Government expenditure on mental health services","Real estimated expenditure","MBS - General practitioners","","","","","Derived from Australian Government Department of Health and Aged Care (unpublished); ABS (unpublished) Australian National Accounts: National Income Expenditure and Product","$m","","","","","","","","","","321.7",""
"13A.2","2019-20","Funding of services for mental health","All ages","All people","All people","All areas","2020-21 dollars","Australian Government expenditure on mental health services","Real estimated expenditure","MBS - Psychologists/Allied Health","","","","","Derived from Australian Government Department of Health and Aged Care (unpublished); ABS (unpublished) Australian National Accounts: National Income Expenditure and Product","$m","","","","","","","","","","657.2",""
"13A.2","2019-20","Funding of services for mental health","All ages","All people","All people","All areas","2020-21 dollars","Australian Government expenditure on mental health services","Real estimated expenditure","Pharmaceutical Benefits Schedule","","","","","Derived from Australian Government Department of Health and Aged Care (unpublished); ABS (unpublished) Australian National Accounts: National Income Expenditure and Product","$m","","","","","","","","","","563.1",""
"13A.2","2019-20","Funding of services for mental health","All ages","All people","All people","All areas","2020-21 dollars","Australian Government expenditure on mental health services","Real estimated expenditure","Private Health Insurance Premium Rebates","","","","","Derived from Australian Government Department of Health and Aged Care (unpublished); ABS (unpublished) Australian National Accounts: National Income Expenditure and Product","$m","","","","","","","","","","182.7",""
"13A.2","2019-20","Funding of services for mental health","All ages","All people","All people","All areas","2020-21 dollars","Australian Government expenditure on mental health services","Real estimated expenditure","Research","","","","","Derived from Australian Government Department of Health and Aged Care (unpublished); ABS (unpublished) Australian National Accounts: National Income Expenditure and Product","$m","","","","","","","","","","116.9",""
"13A.2","2019-20","Funding of services for mental health","All ages","All people","All people","All areas","2020-21 dollars","Australian Government expenditure on mental health services","Real estimated expenditure","National Mental Health Commission","","","","","Derived from Australian Government Department of Health and Aged Care (unpublished); ABS (unpublished) Australian National Accounts: National Income Expenditure and Product","$m","","","","","","","","","","11.9",""
"13A.2","2019-20","Funding of services for mental health","All ages","All people","All people","All areas","2020-21 dollars","Australian Government expenditure on mental health services","Real estimated expenditure","Total","","","","","Derived from Australian Government Department of Health and Aged Care (unpublished); ABS (unpublished) Australian National Accounts: National Income Expenditure and Product","$m","","","","","","","","","","3928.5",""
"13A.2","2019-20","Funding of services for mental health","All ages","All people","All people","All areas","","Australian Government expenditure on mental health services","Proportion of expenditure","Mental health specific payments to states and territories","","","","","Derived from Australian Government Department of Health and Aged Care (unpublished); ABS (unpublished) Australian National Accounts: National Income Expenditure and Product","%","","","","","","","","","","0.2",""
"13A.2","2019-20","Funding of services for mental health","All ages","All people","All people","All areas","","Australian Government expenditure on mental health services","Proportion of expenditure","National programs and initiative (Department of Health managed)","","","","","Derived from Australian Government Department of Health and Aged Care (unpublished); ABS (unpublished) Australian National Accounts: National Income Expenditure and Product","%","","","","","","","","","","24.3",""
"13A.2","2019-20","Funding of services for mental health","All ages","All people","All people","All areas","","Australian Government expenditure on mental health services","Proportion of expenditure","National programs and initiative","","","","","Derived from Australian Government Department of Health and Aged Care (unpublished); ABS (unpublished) Australian National Accounts: National Income Expenditure and Product","%","","","","","","","","","","6.4",""
"13A.2","2019-20","Funding of services for mental health","All ages","All people","All people","All areas","","Australian Government expenditure on mental health services","Proportion of expenditure","National programs and initiative (DVA managed)","","","","","Derived from Australian Government Department of Health and Aged Care (unpublished); ABS (unpublished) Australian National Accounts: National Income Expenditure and Product","%","","","","","","","","","","6.7",""
"13A.2","2019-20","Funding of services for mental health","All ages","All people","All people","All areas","","Australian Government expenditure on mental health services","Proportion of expenditure","Department of Defence-funded programs","","","","","Derived from Australian Government Department of Health and Aged Care (unpublished); ABS (unpublished) Australian National Accounts: National Income Expenditure and Product","%","","","","","","","","","","1.4",""
"13A.2","2019-20","Funding of services for mental health","All ages","All people","All people","All areas","","Australian Government expenditure on mental health services","Proportion of expenditure","National Suicide Prevention Program","","","","","Derived from Australian Government Department of Health and Aged Care (unpublished); ABS (unpublished) Australian National Accounts: National Income Expenditure and Product","%","","","","","","","","","","1.7",""
"13A.2","2019-20","Funding of services for mental health","All ages","All people","All people","All areas","","Australian Government expenditure on mental health services","Proportion of expenditure","Indigenous social and emotional wellbeing programmes","","","","","Derived from Australian Government Department of Health and Aged Care (unpublished); ABS (unpublished) Australian National Accounts: National Income Expenditure and Product","%","","","","","","","","","","1.9",""
